x-axis,1,2,3
second,Volt,Volt,Volt
-33.80000E-03,-48.24121E-03,+6.03015080E+00,+14.07035E-03
-33.75000E-03,-52.26131E-03,+6.23115583E+00,+15.07538E-03
-33.70000E-03,-54.27136E-03,+6.63316588E+00,+15.62814E-03
-33.65000E-03,-57.28643E-03,+6.83417091E+00,+14.24623E-03
-33.60000E-03,-58.29146E-03,+7.03517593E+00,+14.84925E-03
-33.55000E-03,-62.31156E-03,+7.23618096E+00,+15.30151E-03
-33.50000E-03,-64.32161E-03,+7.63819101E+00,+14.47236E-03
-33.45000E-03,-66.33166E-03,+7.83919604E+00,+14.52261E-03
-33.40000E-03,-68.34171E-03,+8.04020107E+00,+14.87437E-03
-33.35000E-03,-71.35678E-03,+8.34170861E+00,+14.44724E-03
-33.30000E-03,-72.36181E-03,+8.63065333E+00,+14.47236E-03
-33.25000E-03,-76.38191E-03,+8.94472369E+00,+14.42211E-03
-33.20000E-03,-80.27638E-03,+8.84422117E+00,+14.09548E-03
-33.15000E-03,-80.40201E-03,+9.24623123E+00,+15.85427E-03
-33.10000E-03,-82.41206E-03,+9.44723625E+00,+14.07035E-03
-33.05000E-03,-85.42713E-03,+9.64824128E+00,+13.64322E-03
-33.00000E-03,-86.43216E-03,+9.84924631E+00,+15.25126E-03
-32.95000E-03,-87.43718E-03,+9.84924631E+00,+16.10553E-03
-32.90000E-03,-90.45226E-03,+10.23869355E+00,+15.65327E-03
-32.85000E-03,-93.46734E-03,+10.25125636E+00,+15.50251E-03
-32.80000E-03,-94.34673E-03,+10.45226139E+00,+16.05528E-03
-32.75000E-03,-94.47236E-03,+10.45226139E+00,+14.87437E-03
-32.70000E-03,-94.47236E-03,+10.65326642E+00,+15.27638E-03
-32.65000E-03,-96.48241E-03,+10.65326642E+00,+15.30151E-03
-32.60000E-03,-98.36683E-03,+10.85427144E+00,+14.09548E-03
-32.55000E-03,-98.49246E-03,+10.95477396E+00,+15.30151E-03
-32.50000E-03,-98.49246E-03,+11.05527647E+00,+14.49749E-03
-32.45000E-03,-99.37186E-03,+11.05527647E+00,+15.65327E-03
-32.40000E-03,-100.50251E-03,+11.05527647E+00,+17.23618E-03
-32.35000E-03,-101.50754E-03,+11.05527647E+00,+15.22613E-03
-32.30000E-03,-102.51256E-03,+11.25628150E+00,+16.45729E-03
-32.25000E-03,-102.38693E-03,+11.34422119E+00,+15.45226E-03
-32.20000E-03,-100.50251E-03,+11.44472371E+00,+15.27638E-03
-32.15000E-03,-100.37688E-03,+11.25628150E+00,+15.67839E-03
-32.10000E-03,-100.50251E-03,+11.25628150E+00,+16.08040E-03
-32.05000E-03,-101.38191E-03,+11.34422119E+00,+16.68342E-03
-32.00000E-03,-100.50251E-03,+11.05527647E+00,+16.08040E-03
-31.95000E-03,-97.36181E-03,+11.05527647E+00,+16.08040E-03
-31.90000E-03,-100.37688E-03,+11.05527647E+00,+17.23618E-03
-31.85000E-03,-98.49246E-03,+10.94221114E+00,+15.47739E-03
-31.80000E-03,-96.48241E-03,+10.85427144E+00,+18.04020E-03
-31.75000E-03,-95.35176E-03,+10.85427144E+00,+15.87940E-03
